Time (s),Mean HR Fallers (bpm),SD HR Fallers (bpm),Mean HR Non-Fallers (bpm),SD HR Non-Fallers (bpm)
-1.120999999999999943e+02,6.501303554845232213e+01,1.063426617145072939e+01,6.761046604064370058e+01,1.323918100756404037e+01
-1.120000000000000000e+02,6.501410162634988410e+01,1.063434700793464138e+01,6.761874281096946504e+01,1.323700899977002976e+01
-1.119000000000000057e+02,6.501608318854535185e+01,1.063457657020938463e+01,6.762643483816256662e+01,1.323341909532110883e+01
-1.117999999999999972e+02,6.501889586275426325e+01,1.063479862222508920e+01,6.763334101292664968e+01,1.322795535216378582e+01
-1.117000000000000028e+02,6.502242123169595800e+01,1.063486246121487788e+01,6.763948484605687383e+01,1.322051870255009121e+01
-1.115999999999999943e+02,6.502650689647336435e+01,1.063464604778061151e+01,6.764507374352393754e+01,1.321143798661297453e+01
-1.115000000000000000e+02,6.503097714276464103e+01,1.063405776964484239e+01,6.765018444655191843e+01,1.320087052833424046e+01
-1.114000000000000057e+02,6.503564428205199022e+01,1.063302576652851350e+01,6.765467127684064508e+01,1.318853329188980972e+01
-1.112999999999999972e+02,6.504034220091595841e+01,1.063154696054354886e+01,6.765839980960429045e+01,1.317409180209273245e+01
-1.112000000000000028e+02,6.504497234770714442e+01,1.062972812252416333e+01,6.766128617009653112e+01,1.315729146503064584e+01
-1.110999999999999943e+02,6.504948707463333335e+01,1.062773225982877179e+01,6.766323699213481291e+01,1.313789768189855778e+01
-1.110000000000000000e+02,6.505385444080364721e+01,1.062572707678396888e+01,6.766414729349412482e+01,1.311568548751627183e+01
-1.109000000000000057e+02,6.505805872096608766e+01,1.062387779797927934e+01,6.766387594410008433e+01,1.309042737474747220e+01
-1.107999999999999972e+02,6.506210166863114353e+01,1.062234570927210697e+01,6.766219208013498587e+01,1.306186113323763465e+01
-1.107000000000000028e+02,6.506598941078827636e+01,1.062128627377301626e+01,6.765900389233307521e+01,1.303026666665791566e+01
-1.105999999999999943e+02,6.506970068004403629e+01,1.062080516740519975e+01,6.765451129158194021e+01,1.299668748626970327e+01
-1.105000000000000000e+02,6.507316817059357561e+01,1.062091268358409124e+01,6.764887436438894497e+01,1.296194258775942387e+01
-1.104000000000000057e+02,6.507631765895422404e+01,1.062155422373166402e+01,6.764214276509022739e+01,1.292642038910791769e+01
-1.102999999999999972e+02,6.507910873714378397e+01,1.062264470060572386e+01,6.763439044991450544e+01,1.289049475340772766e+01
-1.102000000000000028e+02,6.508153517209886729e+01,1.062406505626813313e+01,6.762569772407942992e+01,1.285453928686408176e+01
-1.100999999999999943e+02,6.508361311959822615e+01,1.062566891665941249e+01,6.761619753645830144e+01,1.281899351706911006e+01
-1.100000000000000000e+02,6.508536027892014886e+01,1.062730247167701769e+01,6.760611024976458339e+01,1.278440658827264187e+01
