Time (s),Mean DBP (mmHg),SD DBP (mmHg)
-8.620000000000000284e+01,6.004363876589874138e+01,1.009657313731464434e+01
-8.609999999999999432e+01,6.002247568113435960e+01,1.011285097159421831e+01
-8.600000000000000000e+01,5.999727353131935104e+01,1.013531799678589174e+01
-8.590000000000000568e+01,5.994992361849748619e+01,1.013681692781261745e+01
-8.580000000000001137e+01,5.987381520139010149e+01,1.016849948875739251e+01
-8.570000000000000284e+01,5.977209834456376569e+01,1.021421725783765488e+01
-8.559999999999999432e+01,5.978095324954121281e+01,1.017690786487650101e+01
-8.550000000000000000e+01,5.983715437230257805e+01,1.014485294183940489e+01
-8.540000000000000568e+01,5.989435877413297504e+01,1.014357728755384613e+01
-8.530000000000001137e+01,5.995937941590012343e+01,1.017581351335422291e+01
-8.520000000000000284e+01,6.003794153866112993e+01,1.024305434164195816e+01
-8.509999999999999432e+01,6.008707047280139335e+01,1.030369022154703096e+01
-8.500000000000000000e+01,6.002222615511961124e+01,1.027665093723894785e+01
-8.490000000000000568e+01,5.996454161248630754e+01,1.024537990516360075e+01
-8.480000000000001137e+01,5.990784421889806310e+01,1.021517687467927438e+01
-8.470000000000000284e+01,5.986911994660106018e+01,1.019715506026001606e+01
-8.459999999999999432e+01,5.981100213899847517e+01,1.018998923387972155e+01
-8.450000000000000000e+01,5.974428652587083377e+01,1.018825617253378724e+01
-8.440000000000000568e+01,5.966615585350624684e+01,1.018612211699729464e+01
-8.430000000000001137e+01,5.964232571185037557e+01,1.027411984149468793e+01
-8.420000000000000284e+01,5.965070311706092809e+01,1.041261934251778420e+01
-8.409999999999999432e+01,5.965702434007909716e+01,1.055628426252935803e+01
-8.400000000000000000e+01,5.968566358266760830e+01,1.069707948877152681e+01
-8.390000000000000568e+01,5.975609242825780143e+01,1.082907418348517226e+01
-8.380000000000001137e+01,5.981886422019604055e+01,1.097013679095366179e+01
-8.370000000000000284e+01,5.985784585779670408e+01,1.100103030841336249e+01
-8.359999999999999432e+01,5.989857612238899520e+01,1.101256492281282640e+01
-8.350000000000000000e+01,5.993700270072062608e+01,1.103044203787169941e+01
-8.340000000000000568e+01,5.997471151135972889e+01,1.105187092121452785e+01
-8.330000000000001137e+01,5.999696116695749737e+01,1.107446039859770437e+01
-8.320000000000000284e+01,5.999192004042042470e+01,1.101923531369596354e+01
-8.309999999999999432e+01,5.992274828084176619e+01,1.082226290868488761e+01
-8.300000000000000000e+01,5.987140853083793246e+01,1.062363013724074534e+01
-8.290000000000000568e+01,5.984178719440680538e+01,1.043423132412552867e+01
-8.280000000000001137e+01,5.981606852433903754e+01,1.026104807323169332e+01
-8.270000000000000284e+01,5.982068067569208125e+01,1.014949996630352302e+01
-8.259999999999999432e+01,5.989973039124794951e+01,1.020095939979709421e+01
