Time (s),Mean SBP (mmHg),SD SBP (mmHg)
-1.062000000000000028e+02,1.173466532963480944e+02,1.912790758265742852e+01
-1.060999999999999943e+02,1.174313821374064020e+02,1.930768922535722609e+01
-1.060000000000000000e+02,1.175372509990668419e+02,1.949164886999239599e+01
-1.059000000000000057e+02,1.176600191224721499e+02,1.967337144573983920e+01
-1.057999999999999972e+02,1.177615521247163173e+02,1.987089045116350761e+01
-1.057000000000000028e+02,1.178634856340145518e+02,2.007364427458738376e+01
-1.055999999999999943e+02,1.178745097565637536e+02,2.007044505364742903e+01
-1.055000000000000000e+02,1.178258187606624858e+02,1.993262915188605078e+01
-1.054000000000000057e+02,1.177956720640615345e+02,1.979747560045095156e+01
-1.052999999999999972e+02,1.177881768004507990e+02,1.965675453783855531e+01
-1.052000000000000028e+02,1.177777784224287956e+02,1.953783798066852029e+01
-1.050999999999999943e+02,1.177618851414510175e+02,1.942417914708595816e+01
-1.050000000000000000e+02,1.177138701376130427e+02,1.931649838618486115e+01
-1.049000000000000057e+02,1.176500483125292362e+02,1.921304129646773617e+01
-1.047999999999999972e+02,1.174855626460588667e+02,1.900160052303316505e+01
-1.047000000000000028e+02,1.172947311250754012e+02,1.882481224512512696e+01
-1.045999999999999943e+02,1.171187216615357585e+02,1.868081415367623777e+01
-1.045000000000000000e+02,1.169610708594069450e+02,1.851423905827114424e+01
-1.044000000000000057e+02,1.168284347077328391e+02,1.833746207142778673e+01
-1.042999999999999972e+02,1.166863039813228085e+02,1.819682678254753228e+01
-1.042000000000000028e+02,1.167493547708648833e+02,1.824790447663626480e+01
-1.040999999999999943e+02,1.168697887669489859e+02,1.834485038093647802e+01
-1.040000000000000000e+02,1.170007100604195927e+02,1.841015731800106892e+01
-1.039000000000000057e+02,1.171507326346763307e+02,1.849963334835669571e+01
-1.037999999999999972e+02,1.173219514827827084e+02,1.857043345802988554e+01
-1.037000000000000028e+02,1.174520650453439998e+02,1.871262554187418559e+01
-1.035999999999999943e+02,1.175777015817738373e+02,1.885674806168242057e+01
-1.035000000000000000e+02,1.175368794210865673e+02,1.863031965640121612e+01
