Time (s),Mean DBP Fallers (mmHg),SD DBP Fallers (mmHg),Mean DBP Non-Fallers (mmHg),SD DBP Non-Fallers (mmHg)
-1.110000000000000000e+02,5.901687555850956102e+01,7.097403789519307615e+00,6.436134264581951925e+01,1.179625599031228766e+01
-1.109000000000000057e+02,5.901468672973508944e+01,7.101970515863104794e+00,6.425363546536590320e+01,1.171153762086358974e+01
-1.107999999999999972e+02,5.900912437714055159e+01,7.111224193701175089e+00,6.419935811385902014e+01,1.164498327842436609e+01
-1.107000000000000028e+02,5.900000459448617818e+01,7.094099321521691870e+00,6.418105641114055970e+01,1.158312311771108405e+01
-1.105999999999999943e+02,5.898084568491307778e+01,7.067331001333750251e+00,6.416488857647455291e+01,1.152515050449401812e+01
-1.105000000000000000e+02,5.895892170413809197e+01,7.058092901619099635e+00,6.414866033445892413e+01,1.147942581991610034e+01
-1.104000000000000057e+02,5.895273874237294365e+01,7.054587836466914119e+00,6.413464293302449448e+01,1.145035255243852212e+01
-1.102999999999999972e+02,5.893839853776549376e+01,7.045903749149224460e+00,6.411801479495581191e+01,1.144083690605830661e+01
-1.102000000000000028e+02,5.891826136294924510e+01,7.040722875093266886e+00,6.410522728357958044e+01,1.142367695826841434e+01
-1.100999999999999943e+02,5.889995494649759422e+01,7.036600933439314254e+00,6.409690630306803882e+01,1.140506526246203300e+01
-1.100000000000000000e+02,5.889044357724169743e+01,7.031105275658345199e+00,6.407828127738737578e+01,1.140094076729122463e+01
-1.099000000000000057e+02,5.887930128469889723e+01,7.028917666910193596e+00,6.405741936287139993e+01,1.140245524697311552e+01
-1.097999999999999972e+02,5.884113626359688709e+01,7.012972175613906067e+00,6.401368325929546188e+01,1.139369146899233165e+01
-1.097000000000000028e+02,5.880247234554930458e+01,6.992378253068163296e+00,6.395719060800139033e+01,1.138366120535547665e+01
-1.095999999999999943e+02,5.878083890740743556e+01,6.965616071643164098e+00,6.391847917946290636e+01,1.140394437628631152e+01
-1.095000000000000000e+02,5.876528812380880140e+01,6.943877979083110219e+00,6.388219481068937000e+01,1.142204210085852978e+01
-1.094000000000000057e+02,5.874542138179054973e+01,6.917550558546373907e+00,6.385688968817980538e+01,1.143931417319719301e+01
-1.092999999999999972e+02,5.873951001178195241e+01,6.895390388387108160e+00,6.383537594272116422e+01,1.146194240163290701e+01
-1.092000000000000028e+02,5.873831280488199269e+01,6.875695232012597913e+00,6.381658086808615593e+01,1.149090030849307986e+01
-1.090999999999999943e+02,5.876088677122704240e+01,6.870612086675168761e+00,6.382560897281084777e+01,1.152518270089314356e+01
-1.090000000000000000e+02,5.878490700773024003e+01,6.880071953640761961e+00,6.383221589793982531e+01,1.156768504501949657e+01
-1.089000000000000057e+02,5.881324928382803563e+01,6.896284465658563789e+00,6.382141745646411124e+01,1.159434199131624865e+01
-1.087999999999999972e+02,5.886209504113708135e+01,6.924669274672639041e+00,6.380452054871555134e+01,1.160950791209835309e+01
-1.087000000000000028e+02,5.889536370747964611e+01,6.948002541286944833e+00,6.378691029410906310e+01,1.162383399277405438e+01
-1.085999999999999943e+02,5.891997066473378197e+01,6.971999118861380573e+00,6.381661107489642148e+01,1.153861920767134919e+01
-1.085000000000000000e+02,5.894414313713735254e+01,6.998808886550901498e+00,6.382234311482401523e+01,1.146562164296108577e+01
-1.084000000000000057e+02,5.895520936749058194e+01,7.033879748723934178e+00,6.383424632873139615e+01,1.141154772983534471e+01
-1.082999999999999972e+02,5.896049587790079016e+01,7.068243875850697577e+00,6.386516679178780720e+01,1.138565139594659215e+01
-1.082000000000000028e+02,5.898054752771436426e+01,7.094743182163142592e+00,6.390482128472233114e+01,1.137841933027769414e+01
-1.080999999999999943e+02,5.902029401734952074e+01,7.102842576730531654e+00,6.393955671193468504e+01,1.138222684642381743e+01
-1.080000000000000000e+02,5.904662951660871784e+01,7.096762968755567336e+00,6.392987361449292649e+01,1.138500551914981962e+01
-1.079000000000000057e+02,5.903800367584236142e+01,7.079768064636324354e+00,6.392323461942285689e+01,1.138421638004929370e+01
-1.077999999999999972e+02,5.901203888747269133e+01,7.054733721978059258e+00,6.390796430402888717e+01,1.139218934935422567e+01
-1.077000000000000028e+02,5.899054830356278245e+01,7.032003131231321369e+00,6.388316545647932543e+01,1.140133739036774330e+01
-1.075999999999999943e+02,5.897530700683851990e+01,7.014309783295066048e+00,6.387297689260081768e+01,1.140777858542631407e+01
-1.075000000000000000e+02,5.895690740739182445e+01,6.999065328506197226e+00,6.386960199988488540e+01,1.141647437709358570e+01
-1.074000000000000057e+02,5.896129802337716086e+01,6.969538216387229923e+00,6.388077523694966686e+01,1.145757256572311000e+01
-1.072999999999999972e+02,5.895675887684450345e+01,6.951343978388520028e+00,6.391076708410162155e+01,1.152226385220656191e+01
-1.072000000000000028e+02,5.893964407637023584e+01,6.937483543045403600e+00,6.390914673403835877e+01,1.153789051127625065e+01
-1.070999999999999943e+02,5.892185890315164443e+01,6.914803340371182827e+00,6.391003705438637894e+01,1.156803275878974979e+01
-1.070000000000000000e+02,5.891688093689798222e+01,6.895681857515725710e+00,6.390486775180092138e+01,1.160437896822191917e+01
-1.069000000000000057e+02,5.893996158292264198e+01,6.890524822168566210e+00,6.390558174336761255e+01,1.164031708166029233e+01
-1.067999999999999972e+02,5.897122100742490147e+01,6.896874841226638075e+00,6.388161424604484040e+01,1.164696162751292086e+01
-1.067000000000000028e+02,5.898029005803141445e+01,6.894475020761127837e+00,6.385241120168111451e+01,1.165649252608221786e+01
-1.065999999999999943e+02,5.899091493946604459e+01,6.891236077386210468e+00,6.382494515191090301e+01,1.168763183746303191e+01
-1.065000000000000000e+02,5.899857273500029464e+01,6.892144900398418095e+00,6.379678819616650998e+01,1.171515025241954433e+01
-1.064000000000000057e+02,5.900851451403361381e+01,6.899221373997558970e+00,6.376371673813840601e+01,1.173856164026582327e+01
-1.062999999999999972e+02,5.904087833295917420e+01,6.912117061274458685e+00,6.375930385861197180e+01,1.171190707310015000e+01
-1.062000000000000028e+02,5.907215080960862963e+01,6.937541218582836677e+00,6.378621232468738356e+01,1.169442780032441220e+01
-1.060999999999999943e+02,5.910390514377515814e+01,6.958310832973233495e+00,6.380070863699710060e+01,1.166341665270838313e+01
-1.060000000000000000e+02,5.911841869672883121e+01,6.973742053307033117e+00,6.379613870529147590e+01,1.162211979733970502e+01
-1.059000000000000057e+02,5.911305492807500173e+01,6.982902141046304578e+00,6.380265913355167839e+01,1.158999028825105526e+01
-1.057999999999999972e+02,5.910867328600701853e+01,6.995436958095236690e+00,6.381291985499862562e+01,1.155978990780524285e+01
