Time (s),Mean SBP Fallers (mmHg),SD SBP Fallers (mmHg),Mean SBP Non-Fallers (mmHg),SD SBP Non-Fallers (mmHg)
-1.074000000000000057e+02,1.146361534083177673e+02,1.721901367920874293e+01,1.240354848315893861e+02,2.079680568875802749e+01
-1.072999999999999972e+02,1.145753462117711337e+02,1.719770690004188651e+01,1.240262775301125089e+02,2.086178364406909225e+01
-1.072000000000000028e+02,1.145596049143834421e+02,1.717168434493811802e+01,1.239145580119551084e+02,2.088104011571253693e+01
-1.070999999999999943e+02,1.145425277883846604e+02,1.713708449316088078e+01,1.239272489005878697e+02,2.088404142445389766e+01
-1.070000000000000000e+02,1.145463935158576305e+02,1.708757068636763421e+01,1.239297222703744552e+02,2.090345911877586715e+01
-1.069000000000000057e+02,1.146013976544456767e+02,1.702961956195320425e+01,1.239252108556441812e+02,2.094635410116598351e+01
-1.067999999999999972e+02,1.147007104286338404e+02,1.696910183092684932e+01,1.239259468937778053e+02,2.100257955525218634e+01
-1.067000000000000028e+02,1.147959741867779684e+02,1.691285074456683901e+01,1.239272628276567190e+02,2.107833328884087365e+01
-1.065999999999999943e+02,1.148540896514045073e+02,1.685708553776773400e+01,1.239030405979530371e+02,2.113744174300421363e+01
-1.065000000000000000e+02,1.149157557800755853e+02,1.681039353055060204e+01,1.237973351438915586e+02,2.111322364693573661e+01
-1.064000000000000057e+02,1.149877175392176696e+02,1.677279824245463402e+01,1.237155487263407565e+02,2.107267862643188039e+01
-1.062999999999999972e+02,1.150550205163842037e+02,1.674892883331708759e+01,1.236360540933619063e+02,2.103704979562255772e+01
-1.062000000000000028e+02,1.151446489444217320e+02,1.673615063253947355e+01,1.235812500800816451e+02,2.102556262942702148e+01
-1.060999999999999943e+02,1.152358572699302073e+02,1.671129265424326604e+01,1.234981138685344462e+02,2.101205138758147584e+01
-1.060000000000000000e+02,1.153151625960086619e+02,1.668387576318432863e+01,1.233868032755500082e+02,2.101601169755997134e+01
-1.059000000000000057e+02,1.153938988461415960e+02,1.664109132733470275e+01,1.233102818117738764e+02,2.107785888192112012e+01
-1.057999999999999972e+02,1.154153846412304176e+02,1.660604625167739812e+01,1.232625551445989061e+02,2.118096222658950367e+01
-1.057000000000000028e+02,1.154299057489951963e+02,1.657982869268585446e+01,1.232362903066795496e+02,2.132989552084104190e+01
-1.055999999999999943e+02,1.154503410786602444e+02,1.655967470681519771e+01,1.232313201417623958e+02,2.134899397384798192e+01
-1.055000000000000000e+02,1.154782524393005048e+02,1.655059600263468411e+01,1.232351040950832015e+02,2.125707743088166879e+01
-1.054000000000000057e+02,1.155030333036807662e+02,1.654215023585678068e+01,1.232495743448066605e+02,2.116973647455582608e+01
